src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
71.18.255.147,192.168.10.50,443,51836,6,2026-05-31 03:02:05,47.974941,26.13864600688097,0.270974799114396,0.166753722531936,0.10422107658245999,8,5,600,654,90,66,75.0,11.61895003862225,334,66,130.8,102.36874523017268,334,66,96.46153846153847,69.6459346481742,4850.556213017751,160,100,20,3,3.9979117499999997,15.452852,0.0,6.422857334570613,47.974941,15.452852,0.0,6.853562999999999,7.161728235984723,47.723542,15.708088,1.972793,11.9308855,5.767589227051737,3,3,0,0,0,0,0,6,13,0,0,0.625,96.46153846153847,86,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,130.8,0,8,5,600,654
192.168.10.50,192.168.50.100,54499,53,17,2026-05-31 03:02:06,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
192.168.10.50,192.168.50.100,48656,53,17,2026-05-31 03:02:06,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
192.168.10.50,192.168.50.100,43170,53,17,2026-05-31 03:02:06,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
192.168.10.50,192.168.50.100,43396,53,17,2026-05-31 03:02:06,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
192.168.10.50,192.168.50.100,43547,53,17,2026-05-31 03:02:06,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
192.168.10.50,192.168.50.100,40347,53,17,2026-05-31 03:02:06,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
192.168.10.50,142.250.74.74,36023,443,17,2026-05-31 03:02:09,45.760851,247.06708360821347,1.289311686970157,0.6992876946278818,0.5900239923422752,32,27,8798,2508,1294,71,274.9375,372.26241899196594,152,68,92.88888888888889,25.014563659231165,1294,68,191.6271186440678,289.26446161964753,83673.92875610455,640,540,20,32,0.7889801896551726,15.721711,0.0,2.9373131673314017,45.736229,15.745752,0.0,1.4753622258064514,3.902930918509656,45.732231,15.745939,0.0,1.7589319615384615,4.1952222911500945,0,0,0,0,0,0,0,0,0,0,0,0.84375,191.6271186440678,0,0,0,0,0,0,0,0,0,0,1895.5,4.0,0,0,91101.33852401893639007041069,0,274.9375,92.88888888888889,0,32,27,8798,2508
192.168.10.102,192.168.10.1,37037,53,17,2026-05-31 03:02:09,0.873327,348.0941274001606,3.4351394151331633,2.290092943422109,1.1450464717110544,2,1,192,112,96,96,96.0,0.0,112,112,112.0,0.0,112,96,101.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.4366635,0.873327,0.0,0.4366635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,101.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,112.0,0,2,1,192,112
192.168.10.102,192.168.10.1,43002,53,17,2026-05-31 03:02:09,0.100245,3680.9815950920247,29.92667963489451,19.951119756596338,9.975559878298169,2,1,192,177,96,96,96.0,0.0,177,177,177.0,0.0,177,96,123.0,38.18376618407357,1458.0,40,20,20,2,0.0501225,0.100245,0.0,0.0501225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,123.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,177.0,0,2,1,192,177
192.168.10.102,34.107.243.93,55314,443,6,2026-05-31 03:02:10,0.133761,34277.554743161316,112.14030995581672,67.28418597349004,44.85612398232669,9,6,3320,1265,2589,66,368.8888888888889,785.5290424568718,684,66,210.83333333333334,224.363110950877,2589,66,305.6666666666667,629.5749536172975,396364.6222222223,180,120,20,4,0.009554357142857142,0.03004,0.0,0.011879537681042395,0.103721,0.049525,0.0,0.012965125000000001,0.017002080486204475,0.110064,0.03283,0.00026,0.022012799999999996,0.011494051320574482,4,3,0,0,0,3,0,7,13,0,0,0.6666666666666666,305.6666666666667,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.8888888888889,210.83333333333334,0,9,6,3320,1265
192.168.10.102,34.107.243.93,55328,443,6,2026-05-31 03:02:10,0.466394,12135.662122583053,36.44986856606217,19.296989240856444,17.152879325205728,9,8,3895,1765,2536,66,432.77777777777777,766.5402472259913,873,66,220.625,260.90560433804404,2536,66,332.94117647058823,595.2485857965003,354320.8788927335,180,160,20,4,0.029149625000000002,0.147675,0.0,0.04548049751387264,0.466394,0.213693,0.0,0.05829925,0.08168157241041274,0.401307,0.147675,0.000278,0.057329571428571424,0.05598419237314645,4,3,0,0,0,3,0,7,15,0,0,0.8888888888888888,332.94117647058823,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432.77777777777777,220.625,0,9,8,3895,1765
192.168.10.102,192.168.10.1,33534,53,17,2026-05-31 03:02:10,1.638759,229.44191305738062,1.8306535616280368,1.2204357077520245,0.6102178538760122,2,1,216,160,108,108,108.0,0.0,160,160,160.0,0.0,160,108,125.33333333333333,24.513035081133644,600.8888888888888,40,20,20,2,0.8193795,1.638759,0.0,0.8193795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,125.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.0,160.0,0,2,1,216,160
